onset	duration	pict	response
0.0	3.9339	pict34_1.JPG	3
16.0	2.2669	pict39_1.JPG	1
32.0	4.0168	pict48_1.JPG	2
48.0	2.5835	pict45_1.JPG	1
64.0	6.6504	pict17_1.JPG	4
80.0	3.6004	pict56_1.JPG	2
96.0	3.1169	pict59_1.JPG	1
112.0	7.3504	pict55_1.JPG	2
128.0	7.4169	pict29_1.JPG	4
144.0	3.3001	pict71_1.JPG	1
160.0	6.4835	pict63_1.JPG	1
176.0	5.6500	pict14_1.JPG	1
192.0	3.7834	pict09_1.JPG	3
208.0	2.6334	pict47_1.JPG	1
224.0	7.4333	pict62_1.JPG	3
240.0	3.0834	pict23_1.JPG	4
256.0	6.0166	pict10_1.JPG	3
272.0	3.5168	pict24_1.JPG	3
