onset	duration	pict	response
0.0	1.3866	pict03_1.JPG	4
16.0	1.2665	pict06_1.JPG	4
32.0	1.4663	pict19_1.JPG	3
48.0	1.4529	pict38_1.JPG	1
64.0	1.4670	pict68_1.JPG	1
80.0	1.4002	pict52_1.JPG	3
96.0	1.4664	pict13_1.JPG	3
112.0	1.6795	pict61_1.JPG	1
128.0	1.6668	pict28_1.JPG	3
144.0	1.8794	pict43_1.JPG	1
160.0	1.6928	pict15_1.JPG	3
176.0	2.3596	pict58_1.JPG	2
192.0	1.6397	pict18_1.JPG	4
208.0	1.6129	pict01_1.JPG	3
224.0	1.5595	pict20_1.JPG	3
240.0	1.5995	pict07_1.JPG	3
256.0	1.3599	pict50_1.JPG	1
272.0	1.8528	pict51_1.JPG	1
