onset	duration	pict	response
0.0	3.1169	pict15_1.JPG	4
16.0	6.7500	pict01_1.JPG	4
32.0	4.9002	pict36_1.JPG	4
48.0	6.1500	pict71_1.JPG	1
64.0	6.3675	pict23_1.JPG	4
80.0	6.0336	pict65_1.JPG	2
96.0	8.7833	pict02_1.JPG	2
112.0	6.6500	pict04_1.JPG	2
128.0	2.5004	pict18_1.JPG	4
144.0	4.4836	pict24_1.JPG	3
160.0	4.3671	pict39_1.JPG	1
176.0	4.3167	pict13_1.JPG	4
192.0	6.2667	pict09_1.JPG	3
208.0	5.1168	pict66_1.JPG	1
224.0	9.0497	pict20_1.JPG	3
240.0	3.7834	pict57_1.JPG	2
256.0	6.3167	pict10_1.JPG	4
272.0	3.2334	pict12_1.JPG	4
