onset	duration	pict	response
0.0	5.8003	pict03_1.JPG	3
16.0	7.9002	pict06_1.JPG	3
32.0	6.4505	pict19_1.JPG	3
48.0	5.7501	pict38_1.JPG	2
64.0	6.1671	pict68_1.JPG	2
80.0	5.1335	pict52_1.JPG	1
96.0	8.2167	pict13_1.JPG	2
112.0	6.0168	pict61_1.JPG	1
128.0	8.0669	pict28_1.JPG	2
144.0	5.8500	pict43_1.JPG	2
160.0	4.9169	pict15_1.JPG	3
176.0	6.7169	pict58_1.JPG	2
192.0	3.6333	pict18_1.JPG	3
208.0	5.9000	pict01_1.JPG	3
224.0	6.5667	pict20_1.JPG	3
240.0	5.8999	pict07_1.JPG	3
256.0	4.7333	pict50_1.JPG	2
272.0	7.1666	pict51_1.JPG	1
