onset	duration	pict	response
0.0	7.1393	pict15_1.JPG	4
16.0	7.5237	pict01_1.JPG	4
32.0	8.1734	pict36_1.JPG	1
48.0	6.8626	pict71_1.JPG	3
64.0	8.8542	pict23_1.JPG	3
80.0	7.3946	pict65_1.JPG	2
96.0	7.5301	pict02_1.JPG	4
112.0	8.5274	pict04_1.JPG	3
128.0	7.8004	pict18_1.JPG	4
144.0	7.2987	pict24_1.JPG	4
160.0	6.5092	pict39_1.JPG	1
176.0	7.4319	pict13_1.JPG	3
192.0	8.5277	pict09_1.JPG	3
208.0	7.2588	pict66_1.JPG	1
224.0	7.6458	pict20_1.JPG	1
240.0	9.5497	pict57_1.JPG	4
256.0	7.0834	pict10_1.JPG	2
272.0	9.0533	pict12_1.JPG	4
