onset	duration	pict	response
0.0	4.7003	pict03_1.JPG	4
16.0	5.3168	pict06_1.JPG	4
32.0	6.1667	pict19_1.JPG	4
48.0	5.4834	pict38_1.JPG	1
64.0	7.8837	pict68_1.JPG	1
80.0	6.0834	pict52_1.JPG	1
96.0	7.9507	pict13_1.JPG	3
112.0	7.4666	pict61_1.JPG	3
128.0	7.1338	pict28_1.JPG	4
144.0	6.7167	pict43_1.JPG	1
160.0	6.5166	pict15_1.JPG	4
176.0	7.0669	pict58_1.JPG	1
192.0	6.7833	pict18_1.JPG	4
208.0	7.9500	pict01_1.JPG	4
224.0	6.9833	pict20_1.JPG	4
240.0	6.2332	pict07_1.JPG	4
256.0	6.3833	pict50_1.JPG	1
272.0	7.3834	pict51_1.JPG	2
