onset	duration	pict	response
0.0	4.2984	pict32_1.JPG	4
16.0	9.3298	pict40_1.JPG	2
32.0	5.1488	pict22_1.JPG	3
48.0	6.2093	pict34_1.JPG	4
64.0	6.0121	pict35_1.JPG	4
80.0	7.7957	pict06_1.JPG	4
96.0	7.5775	pict55_1.JPG	3
112.0	6.6607	pict03_1.JPG	2
128.0	7.2055	pict68_1.JPG	1
144.0	5.6934	pict16_1.JPG	4
160.0	9.0427	pict69_1.JPG	3
176.0	7.8620	pict11_1.JPG	3
192.0	6.9748	pict54_1.JPG	2
208.0	6.6388	pict30_1.JPG	4
224.0	6.5951	pict45_1.JPG	1
240.0	5.2780	pict60_1.JPG	1
256.0	8.3258	pict72_1.JPG	1
272.0	8.8956	pict62_1.JPG	3
