onset	duration	pict	response
0.0	7.1614	pict70_1.JPG	1
16.0	8.4337	pict51_1.JPG	1
32.0	8.6885	pict33_1.JPG	4
48.0	8.2712	pict07_1.JPG	4
64.0	5.5434	pict38_1.JPG	1
80.0	5.7057	pict58_1.JPG	1
96.0	6.0266	pict42_1.JPG	1
112.0	9.5641	pict28_1.JPG	3
128.0	7.4401	pict17_1.JPG	4
144.0	7.6564	pict41_1.JPG	1
160.0	7.0629	pict47_1.JPG	1
176.0	7.2577	pict14_1.JPG	4
192.0	6.7128	pict46_1.JPG	1
208.0	6.5454	pict56_1.JPG	1
224.0	7.8746	pict63_1.JPG	2
240.0	5.3612	pict08_1.JPG	4
256.0	5.9921	pict67_1.JPG	1
272.0	7.6054	pict59_1.JPG	1
