onset	duration	pict	response
0.0	1.7669	pict05_1.JPG	4
16.0	4.4334	pict48_1.JPG	2
32.0	1.5668	pict53_1.JPG	1
48.0	2.3001	pict29_1.JPG	4
64.0	2.9006	pict21_1.JPG	3
80.0	2.2672	pict25_1.JPG	4
96.0	1.3337	pict52_1.JPG	1
112.0	1.8502	pict37_1.JPG	1
128.0	1.4169	pict64_1.JPG	1
144.0	3.8167	pict31_1.JPG	4
160.0	1.6835	pict49_1.JPG	1
176.0	3.0834	pict27_1.JPG	3
192.0	4.2333	pict61_1.JPG	2
208.0	1.3501	pict50_1.JPG	1
224.0	4.5167	pict26_1.JPG	3
240.0	1.8834	pict43_1.JPG	1
256.0	3.6834	pict19_1.JPG	3
272.0	1.6004	pict44_1.JPG	1
