onset	duration	pict	response
0.0	7.4502	pict15_1.JPG	4
16.0	7.3667	pict01_1.JPG	4
32.0	8.1000	pict36_1.JPG	4
48.0	7.7333	pict71_1.JPG	1
64.0	7.5172	pict23_1.JPG	4
80.0	7.6502	pict65_1.JPG	2
96.0	7.6337	pict02_1.JPG	4
112.0	8.1333	pict04_1.JPG	3
128.0	7.6833	pict18_1.JPG	4
144.0	7.8333	pict24_1.JPG	4
160.0	7.7501	pict39_1.JPG	1
176.0	7.9170	pict13_1.JPG	4
192.0	6.3167	pict09_1.JPG	3
208.0	7.5000	pict66_1.JPG	1
224.0	8.2333	pict20_1.JPG	4
240.0	7.6834	pict57_1.JPG	2
256.0	8.0000	pict10_1.JPG	3
272.0	7.4499	pict12_1.JPG	4
