onset	duration	pict	response
0.0	1.9170	pict15_1.JPG	4
16.0	1.5502	pict01_1.JPG	4
32.0	2.1168	pict36_1.JPG	4
48.0	2.2335	pict71_1.JPG	1
64.0	1.6677	pict23_1.JPG	4
80.0	5.1838	pict65_1.JPG	1
96.0	2.4673	pict02_1.JPG	4
112.0	7.5165	pict04_1.JPG	3
128.0	2.0667	pict18_1.JPG	4
144.0	3.3833	pict24_1.JPG	4
160.0	1.6000	pict39_1.JPG	1
176.0	1.6834	pict13_1.JPG	4
192.0	2.4166	pict09_1.JPG	4
208.0	1.4336	pict66_1.JPG	1
224.0	1.5333	pict20_1.JPG	4
240.0	9.1668	pict57_1.JPG	1
256.0	9.6163	pict10_1.JPG	3
272.0	7.9166	pict12_1.JPG	4
