onset	duration	pict	response
0.0	6.2915	pict32_1.JPG	4
16.0	3.1058	pict40_1.JPG	1
32.0	7.8373	pict22_1.JPG	1
48.0	5.0784	pict34_1.JPG	3
64.0	3.8664	pict35_1.JPG	4
80.0	3.7062	pict06_1.JPG	4
96.0	7.9573	pict55_1.JPG	3
112.0	6.7312	pict03_1.JPG	3
128.0	5.8650	pict68_1.JPG	1
144.0	4.0119	pict16_1.JPG	4
160.0	6.6110	pict69_1.JPG	3
176.0	6.0512	pict11_1.JPG	4
192.0	7.1442	pict54_1.JPG	1
208.0	3.3189	pict30_1.JPG	4
224.0	2.6928	pict45_1.JPG	1
240.0	3.3323	pict60_1.JPG	1
256.0	5.0916	pict72_1.JPG	3
272.0	8.0105	pict62_1.JPG	2
