onset	duration	pict	response
0.0	7.7941	pict03_1.JPG	4
16.0	8.8333	pict06_1.JPG	4
32.0	9.8075	pict19_1.JPG	2
48.0	8.3605	pict38_1.JPG	1
64.0	8.3646	pict68_1.JPG	2
80.0	8.7627	pict52_1.JPG	1
96.0	8.5131	pict13_1.JPG	2
112.0	8.6817	pict61_1.JPG	2
128.0	7.7129	pict28_1.JPG	3
144.0	16.0000	pict43_1.JPG	3
160.0	7.6464	pict15_1.JPG	3
176.0	9.0139	pict58_1.JPG	2
192.0	9.2475	pict18_1.JPG	4
208.0	8.3631	pict01_1.JPG	4
224.0	8.6296	pict20_1.JPG	4
240.0	8.2788	pict07_1.JPG	3
256.0	8.5106	pict50_1.JPG	1
272.0	9.3472	pict51_1.JPG	2
