onset	duration	pict	response
0.0	3.9144	pict30_1.JPG	4
16.0	6.5339	pict31_1.JPG	4
32.0	6.7726	pict08_1.JPG	4
48.0	6.1927	pict26_1.JPG	3
64.0	7.0985	pict02_1.JPG	2
80.0	8.4956	pict46_1.JPG	1
96.0	7.4474	pict21_1.JPG	4
112.0	8.4801	pict16_1.JPG	4
128.0	8.6128	pict04_1.JPG	4
144.0	8.3299	pict22_1.JPG	4
160.0	7.5295	pict32_1.JPG	4
176.0	7.0796	pict42_1.JPG	2
192.0	8.6135	pict05_1.JPG	4
208.0	8.2967	pict40_1.JPG	4
224.0	7.5797	pict72_1.JPG	3
240.0	8.0971	pict67_1.JPG	1
256.0	8.4802	pict70_1.JPG	2
272.0	8.4975	pict27_1.JPG	3
