onset	duration	pict	response
0.0	1.7170	pict15_1.JPG	4
16.0	6.3668	pict01_1.JPG	4
32.0	1.7836	pict36_1.JPG	4
48.0	1.7001	pict71_1.JPG	1
64.0	5.6837	pict23_1.JPG	3
80.0	6.9503	pict65_1.JPG	1
96.0	1.3673	pict02_1.JPG	4
112.0	4.2667	pict04_1.JPG	2
128.0	1.6167	pict18_1.JPG	4
144.0	7.5001	pict24_1.JPG	3
160.0	1.4668	pict39_1.JPG	1
176.0	2.9002	pict13_1.JPG	3
192.0	1.4500	pict09_1.JPG	1
208.0	6.2337	pict66_1.JPG	2
224.0	1.1334	pict20_1.JPG	4
240.0	4.7167	pict57_1.JPG	2
256.0	4.1168	pict10_1.JPG	1
272.0	3.2000	pict12_1.JPG	2
