onset	duration	pict	response
0.0	2.4168	pict70_1.JPG	1
16.0	2.6335	pict51_1.JPG	1
32.0	2.4503	pict33_1.JPG	4
48.0	3.2667	pict07_1.JPG	4
64.0	2.6171	pict38_1.JPG	1
80.0	2.0337	pict58_1.JPG	2
96.0	2.8170	pict42_1.JPG	1
112.0	2.5174	pict28_1.JPG	4
128.0	3.7168	pict17_1.JPG	2
144.0	3.5002	pict41_1.JPG	1
160.0	2.3001	pict47_1.JPG	1
176.0	4.3667	pict14_1.JPG	2
192.0	5.1500	pict46_1.JPG	2
208.0	4.3833	pict56_1.JPG	3
224.0	4.0167	pict63_1.JPG	3
240.0	2.8835	pict08_1.JPG	4
256.0	3.0667	pict67_1.JPG	1
272.0	2.8501	pict59_1.JPG	1
