onset	duration	pict	response
0.0	6.3181	pict70_1.JPG	2
16.0	16.0000	pict51_1.JPG	2
32.0	2.9993	pict33_1.JPG	4
48.0	2.9058	pict07_1.JPG	4
64.0	2.7458	pict38_1.JPG	1
80.0	4.2396	pict58_1.JPG	2
96.0	3.2660	pict42_1.JPG	1
112.0	4.4928	pict28_1.JPG	4
128.0	2.7191	pict17_1.JPG	4
144.0	3.9856	pict41_1.JPG	2
160.0	1.3330	pict47_1.JPG	1
176.0	3.9187	pict14_1.JPG	4
192.0	2.3060	pict46_1.JPG	1
208.0	5.9047	pict56_1.JPG	3
224.0	4.7851	pict63_1.JPG	2
240.0	3.7320	pict08_1.JPG	4
256.0	2.6128	pict67_1.JPG	1
272.0	1.6528	pict59_1.JPG	1
