onset	duration	pict	response
0.0	1.2004	pict03_1.JPG	4
16.0	1.2001	pict06_1.JPG	4
32.0	2.1002	pict19_1.JPG	4
48.0	9.1332	pict38_1.JPG	3
64.0	3.0010	pict68_1.JPG	3
80.0	3.3503	pict52_1.JPG	2
96.0	5.5334	pict13_1.JPG	1
112.0	1.6002	pict61_1.JPG	1
128.0	2.0175	pict28_1.JPG	4
144.0	3.1167	pict43_1.JPG	1
160.0	2.0834	pict15_1.JPG	4
176.0	6.4334	pict58_1.JPG	2
192.0	8.4664	pict18_1.JPG	4
208.0	8.0497	pict01_1.JPG	4
224.0	2.5000	pict20_1.JPG	4
240.0	3.2999	pict07_1.JPG	4
256.0	2.0667	pict50_1.JPG	1
272.0	5.3166	pict51_1.JPG	2
