onset	duration	pict	response
0.0	7.9703	pict15_1.JPG	4
16.0	8.9925	pict01_1.JPG	4
32.0	7.9194	pict36_1.JPG	4
48.0	2.9783	pict71_1.JPG	1
64.0	8.5125	pict23_1.JPG	4
80.0	2.8801	pict65_1.JPG	1
96.0	8.0931	pict02_1.JPG	4
112.0	16.0000	pict04_1.JPG	4
128.0	7.1577	pict18_1.JPG	4
144.0	8.9773	pict24_1.JPG	4
160.0	1.8318	pict39_1.JPG	1
176.0	7.2767	pict13_1.JPG	3
192.0	7.2939	pict09_1.JPG	4
208.0	2.4633	pict66_1.JPG	1
224.0	8.1753	pict20_1.JPG	4
240.0	4.6117	pict57_1.JPG	1
256.0	7.0074	pict10_1.JPG	4
272.0	6.4601	pict12_1.JPG	4
