onset	duration	pict	response
0.0	1.5668	pict70_1.JPG	1
16.0	1.4668	pict51_1.JPG	1
32.0	2.7170	pict33_1.JPG	4
48.0	1.1002	pict07_1.JPG	4
64.0	2.1508	pict38_1.JPG	1
80.0	8.1667	pict58_1.JPG	1
96.0	6.7336	pict42_1.JPG	2
112.0	8.6171	pict28_1.JPG	2
128.0	6.8503	pict17_1.JPG	4
144.0	8.4167	pict41_1.JPG	1
160.0	6.6832	pict47_1.JPG	2
176.0	7.5332	pict14_1.JPG	4
192.0	4.6833	pict46_1.JPG	1
208.0	6.6832	pict56_1.JPG	2
224.0	8.4831	pict63_1.JPG	2
240.0	5.7832	pict08_1.JPG	4
256.0	5.6831	pict67_1.JPG	1
272.0	6.2333	pict59_1.JPG	1
