onset	duration	pict	response
0.0	1.4170	pict05_1.JPG	4
16.0	6.2333	pict48_1.JPG	1
32.0	6.1166	pict53_1.JPG	1
48.0	4.5000	pict29_1.JPG	4
64.0	6.9342	pict21_1.JPG	4
80.0	9.1005	pict25_1.JPG	4
96.0	3.5670	pict52_1.JPG	1
112.0	6.4498	pict37_1.JPG	1
128.0	3.2837	pict64_1.JPG	1
144.0	5.9998	pict31_1.JPG	4
160.0	5.5499	pict49_1.JPG	1
176.0	8.6997	pict27_1.JPG	4
192.0	7.3833	pict61_1.JPG	1
208.0	4.3499	pict50_1.JPG	1
224.0	8.5664	pict26_1.JPG	4
240.0	7.4831	pict43_1.JPG	1
256.0	6.7165	pict19_1.JPG	4
272.0	6.9833	pict44_1.JPG	1
