onset	duration	pict	response
0.0	2.4336	pict05_1.JPG	4
16.0	4.5168	pict48_1.JPG	3
32.0	4.5171	pict53_1.JPG	1
48.0	3.3669	pict29_1.JPG	3
64.0	3.3838	pict21_1.JPG	3
80.0	3.7006	pict25_1.JPG	4
96.0	5.1169	pict52_1.JPG	1
112.0	2.1168	pict37_1.JPG	1
128.0	1.5668	pict64_1.JPG	1
144.0	2.6334	pict31_1.JPG	3
160.0	2.2170	pict49_1.JPG	1
176.0	2.8668	pict27_1.JPG	3
192.0	2.7668	pict61_1.JPG	2
208.0	1.8001	pict50_1.JPG	1
224.0	2.6001	pict26_1.JPG	3
240.0	1.6169	pict43_1.JPG	1
256.0	3.6501	pict19_1.JPG	3
272.0	4.1334	pict44_1.JPG	1
