onset	duration	pict	response
0.0	3.6168	pict70_1.JPG	2
16.0	3.8669	pict51_1.JPG	1
32.0	1.6502	pict33_1.JPG	4
48.0	1.1501	pict07_1.JPG	4
64.0	1.3005	pict38_1.JPG	1
80.0	1.3836	pict58_1.JPG	1
96.0	2.1834	pict42_1.JPG	1
112.0	2.2341	pict28_1.JPG	4
128.0	1.8667	pict17_1.JPG	4
144.0	2.1336	pict41_1.JPG	1
160.0	4.7167	pict47_1.JPG	2
176.0	2.9666	pict14_1.JPG	4
192.0	1.2835	pict46_1.JPG	1
208.0	2.0501	pict56_1.JPG	1
224.0	4.0834	pict63_1.JPG	2
240.0	1.1668	pict08_1.JPG	4
256.0	2.4001	pict67_1.JPG	1
272.0	1.2168	pict59_1.JPG	4
