onset	duration	pict	response
0.0	4.8502	pict32_1.JPG	3
16.0	4.7502	pict40_1.JPG	2
32.0	5.3666	pict22_1.JPG	3
48.0	5.2334	pict34_1.JPG	2
64.0	1.9005	pict35_1.JPG	4
80.0	1.5836	pict06_1.JPG	4
96.0	4.0336	pict55_1.JPG	2
112.0	1.8340	pict03_1.JPG	4
128.0	3.0835	pict68_1.JPG	1
144.0	2.6667	pict16_1.JPG	4
160.0	3.4502	pict69_1.JPG	2
176.0	3.2334	pict11_1.JPG	4
192.0	2.5168	pict54_1.JPG	1
208.0	2.4167	pict30_1.JPG	4
224.0	2.8834	pict45_1.JPG	1
240.0	5.1834	pict60_1.JPG	1
256.0	5.1167	pict72_1.JPG	2
272.0	5.1833	pict62_1.JPG	2
