onset	duration	pict	response
0.0	4.7660	pict03_1.JPG	4
16.0	5.0322	pict06_1.JPG	4
32.0	6.2393	pict19_1.JPG	4
48.0	4.9423	pict38_1.JPG	1
64.0	6.2133	pict68_1.JPG	4
80.0	4.3768	pict52_1.JPG	3
96.0	4.5612	pict13_1.JPG	4
112.0	5.0099	pict61_1.JPG	2
128.0	7.5623	pict28_1.JPG	4
144.0	4.9115	pict43_1.JPG	1
160.0	5.2121	pict15_1.JPG	4
176.0	6.1286	pict58_1.JPG	1
192.0	6.4295	pict18_1.JPG	4
208.0	7.9966	pict01_1.JPG	4
224.0	5.9952	pict20_1.JPG	4
240.0	5.7615	pict07_1.JPG	4
256.0	5.7451	pict50_1.JPG	1
272.0	6.1956	pict51_1.JPG	1
