onset	duration	pict	response
0.0	3.8957	pict30_1.JPG	4
16.0	3.2818	pict31_1.JPG	4
32.0	2.1575	pict08_1.JPG	4
48.0	1.9800	pict26_1.JPG	4
64.0	2.1688	pict02_1.JPG	2
80.0	1.5473	pict46_1.JPG	1
96.0	1.8157	pict21_1.JPG	3
112.0	4.6469	pict16_1.JPG	4
128.0	4.5448	pict04_1.JPG	4
144.0	3.2803	pict22_1.JPG	4
160.0	3.2975	pict32_1.JPG	3
176.0	6.3606	pict42_1.JPG	3
192.0	1.8963	pict05_1.JPG	4
208.0	1.4781	pict40_1.JPG	1
224.0	2.9465	pict72_1.JPG	1
240.0	1.4822	pict67_1.JPG	1
256.0	2.1150	pict70_1.JPG	3
272.0	4.8798	pict27_1.JPG	4
