onset	duration	pict	response
0.0	6.5668	pict21_1.JPG	4
16.0	5.9171	pict56_1.JPG	2
32.0	7.3833	pict27_1.JPG	4
48.0	7.2335	pict36_1.JPG	4
64.0	7.9504	pict01_1.JPG	4
80.0	7.4168	pict20_1.JPG	3
96.0	7.8336	pict19_1.JPG	4
112.0	6.7333	pict30_1.JPG	4
128.0	7.1999	pict35_1.JPG	4
144.0	6.6333	pict05_1.JPG	4
160.0	6.6168	pict54_1.JPG	1
176.0	7.4167	pict60_1.JPG	1
192.0	16.0000	pict53_1.JPG	1
208.0	7.1500	pict25_1.JPG	4
224.0	6.8166	pict09_1.JPG	4
240.0	6.5833	pict62_1.JPG	4
256.0	6.6001	pict46_1.JPG	2
272.0	7.1334	pict71_1.JPG	2
