onset	duration	pict	response
0.0	6.4704	pict45_1.JPG	1
16.0	7.3403	pict06_1.JPG	4
32.0	8.3162	pict15_1.JPG	4
48.0	8.5025	pict55_1.JPG	2
64.0	7.5102	pict13_1.JPG	3
80.0	7.3056	pict37_1.JPG	1
96.0	7.4405	pict16_1.JPG	4
112.0	7.6913	pict31_1.JPG	4
128.0	8.3915	pict18_1.JPG	4
144.0	7.6747	pict48_1.JPG	2
160.0	7.3402	pict70_1.JPG	2
176.0	8.1236	pict32_1.JPG	3
192.0	6.5073	pict22_1.JPG	4
208.0	7.5558	pict47_1.JPG	1
224.0	8.6575	pict08_1.JPG	4
240.0	7.4206	pict72_1.JPG	1
256.0	16.0000	pict33_1.JPG	1
272.0	6.0067	pict69_1.JPG	3
