onset	duration	pict	response
0.0	7.4501	pict70_1.JPG	1
16.0	6.9835	pict51_1.JPG	2
32.0	6.9334	pict33_1.JPG	4
48.0	5.7833	pict07_1.JPG	4
64.0	7.4341	pict38_1.JPG	1
80.0	6.0002	pict58_1.JPG	2
96.0	7.8008	pict42_1.JPG	4
112.0	7.8666	pict28_1.JPG	3
128.0	4.4676	pict17_1.JPG	4
144.0	5.7667	pict41_1.JPG	1
160.0	8.9997	pict47_1.JPG	1
176.0	6.2667	pict14_1.JPG	1
192.0	6.5665	pict46_1.JPG	1
208.0	5.3832	pict56_1.JPG	2
224.0	5.5165	pict63_1.JPG	2
240.0	6.7998	pict08_1.JPG	4
256.0	8.4997	pict67_1.JPG	1
272.0	8.1498	pict59_1.JPG	1
