onset	duration	pict	response
0.0	8.4835	pict05_1.JPG	4
16.0	8.1665	pict48_1.JPG	1
32.0	6.2833	pict53_1.JPG	1
48.0	6.2166	pict29_1.JPG	3
64.0	6.8675	pict21_1.JPG	4
80.0	6.9006	pict25_1.JPG	4
96.0	4.4172	pict52_1.JPG	1
112.0	3.6668	pict37_1.JPG	3
128.0	7.9497	pict64_1.JPG	2
144.0	7.7163	pict31_1.JPG	4
160.0	6.5001	pict49_1.JPG	1
176.0	6.6332	pict27_1.JPG	4
192.0	7.6334	pict61_1.JPG	1
208.0	6.9998	pict50_1.JPG	1
224.0	6.7498	pict26_1.JPG	2
240.0	7.9164	pict43_1.JPG	2
256.0	5.3999	pict19_1.JPG	4
272.0	7.2165	pict44_1.JPG	2
