onset	duration	pict	response
0.0	5.7335	pict05_1.JPG	4
16.0	8.2499	pict48_1.JPG	2
32.0	9.0832	pict53_1.JPG	2
48.0	7.6165	pict29_1.JPG	2
64.0	8.8006	pict21_1.JPG	4
80.0	7.6833	pict25_1.JPG	3
96.0	9.5832	pict52_1.JPG	2
112.0	8.3499	pict37_1.JPG	2
128.0	9.5336	pict64_1.JPG	2
144.0	8.6166	pict31_1.JPG	1
160.0	5.4332	pict49_1.JPG	1
176.0	9.6662	pict27_1.JPG	2
192.0	9.6996	pict61_1.JPG	2
208.0	8.9997	pict50_1.JPG	2
224.0	9.5829	pict26_1.JPG	2
240.0	8.2997	pict43_1.JPG	1
256.0	9.0830	pict19_1.JPG	2
272.0	6.3664	pict44_1.JPG	1
