onset	duration	pict	response
0.0	7.9833	pict32_1.JPG	3
16.0	8.5834	pict40_1.JPG	2
32.0	7.5165	pict22_1.JPG	1
48.0	8.9332	pict34_1.JPG	2
64.0	9.1673	pict35_1.JPG	3
80.0	9.6003	pict06_1.JPG	3
96.0	9.6497	pict55_1.JPG	2
112.0	9.1847	pict03_1.JPG	4
128.0	9.3333	pict68_1.JPG	2
144.0	8.1330	pict16_1.JPG	3
160.0	9.0830	pict69_1.JPG	2
176.0	7.7331	pict11_1.JPG	3
192.0	8.6996	pict54_1.JPG	3
208.0	9.1497	pict30_1.JPG	2
224.0	9.0163	pict45_1.JPG	2
240.0	8.7996	pict60_1.JPG	2
256.0	8.2164	pict72_1.JPG	2
272.0	8.2163	pict62_1.JPG	3
