onset	duration	pict	response
0.0	5.1836	pict36_1.JPG	4
16.0	4.7334	pict69_1.JPG	1
32.0	4.5334	pict49_1.JPG	1
48.0	5.8168	pict12_1.JPG	4
64.0	6.4004	pict11_1.JPG	3
80.0	6.6001	pict53_1.JPG	3
96.0	5.5503	pict54_1.JPG	1
112.0	5.4167	pict60_1.JPG	1
128.0	6.5169	pict37_1.JPG	1
144.0	5.2505	pict64_1.JPG	1
160.0	6.6002	pict25_1.JPG	4
176.0	7.3501	pict66_1.JPG	2
192.0	7.2500	pict65_1.JPG	2
208.0	6.4999	pict44_1.JPG	1
224.0	4.5667	pict57_1.JPG	2
240.0	6.1000	pict35_1.JPG	4
256.0	5.7833	pict33_1.JPG	4
272.0	6.4500	pict41_1.JPG	2
