onset	duration	pict	response
0.0	6.8538	pict05_1.JPG	4
16.0	6.0274	pict48_1.JPG	2
32.0	7.7520	pict53_1.JPG	3
48.0	7.4732	pict29_1.JPG	4
64.0	6.2829	pict21_1.JPG	4
80.0	9.7246	pict25_1.JPG	4
96.0	2.7287	pict52_1.JPG	1
112.0	5.5102	pict37_1.JPG	1
128.0	3.8631	pict64_1.JPG	1
144.0	9.0089	pict31_1.JPG	4
160.0	2.0971	pict49_1.JPG	1
176.0	6.9431	pict27_1.JPG	4
192.0	3.3826	pict61_1.JPG	1
208.0	2.2471	pict50_1.JPG	1
224.0	8.2243	pict26_1.JPG	4
240.0	2.6133	pict43_1.JPG	1
256.0	8.5421	pict19_1.JPG	4
272.0	2.2967	pict44_1.JPG	1
