onset	duration	pict	response
0.0	3.5668	pict05_1.JPG	3
16.0	6.1167	pict48_1.JPG	1
32.0	5.0666	pict53_1.JPG	4
48.0	6.7166	pict29_1.JPG	4
64.0	8.8840	pict21_1.JPG	4
80.0	7.2504	pict25_1.JPG	4
96.0	8.0999	pict52_1.JPG	3
112.0	4.7001	pict37_1.JPG	2
128.0	8.0500	pict64_1.JPG	1
144.0	9.0496	pict31_1.JPG	4
160.0	7.3498	pict49_1.JPG	1
176.0	7.5500	pict27_1.JPG	2
192.0	6.7165	pict61_1.JPG	3
208.0	8.1330	pict50_1.JPG	1
224.0	4.8998	pict26_1.JPG	4
240.0	7.5666	pict43_1.JPG	1
256.0	6.1164	pict19_1.JPG	1
272.0	5.6498	pict44_1.JPG	1
