onset	duration	pict	response
0.0	1.9003	pict32_1.JPG	4
16.0	5.4500	pict40_1.JPG	3
32.0	6.0000	pict22_1.JPG	3
48.0	6.2666	pict34_1.JPG	3
64.0	16.0000	pict35_1.JPG	3
80.0	7.1675	pict06_1.JPG	3
96.0	7.0334	pict55_1.JPG	3
112.0	6.4173	pict03_1.JPG	4
128.0	7.3830	pict68_1.JPG	4
144.0	5.3832	pict16_1.JPG	4
160.0	6.4831	pict69_1.JPG	4
176.0	5.0832	pict11_1.JPG	4
192.0	6.8334	pict54_1.JPG	1
208.0	6.8498	pict30_1.JPG	3
224.0	5.6831	pict45_1.JPG	2
240.0	8.0164	pict60_1.JPG	2
256.0	7.6664	pict72_1.JPG	4
272.0	7.6664	pict62_1.JPG	3
