onset	duration	pict	response
0.0	5.5669	pict15_1.JPG	4
16.0	6.8000	pict01_1.JPG	4
32.0	6.3834	pict36_1.JPG	4
48.0	4.0167	pict71_1.JPG	1
64.0	5.4172	pict23_1.JPG	4
80.0	9.0669	pict65_1.JPG	1
96.0	3.2670	pict02_1.JPG	4
112.0	7.1332	pict04_1.JPG	4
128.0	4.7166	pict18_1.JPG	4
144.0	4.6000	pict24_1.JPG	4
160.0	3.6667	pict39_1.JPG	1
176.0	8.1166	pict13_1.JPG	2
192.0	5.8333	pict09_1.JPG	4
208.0	16.0000	pict66_1.JPG	4
224.0	2.7667	pict20_1.JPG	4
240.0	5.3502	pict57_1.JPG	1
256.0	8.4666	pict10_1.JPG	3
272.0	4.5494	pict12_1.JPG	4
