onset	duration	pict	response
0.0	1.8796	pict15_1.JPG	4
16.0	4.3049	pict01_1.JPG	4
32.0	3.6454	pict36_1.JPG	4
48.0	3.9536	pict71_1.JPG	1
64.0	2.2271	pict23_1.JPG	4
80.0	4.6527	pict65_1.JPG	4
96.0	5.0954	pict02_1.JPG	4
112.0	4.4511	pict04_1.JPG	4
128.0	2.1984	pict18_1.JPG	4
144.0	3.7753	pict24_1.JPG	3
160.0	3.1082	pict39_1.JPG	1
176.0	4.3718	pict13_1.JPG	2
192.0	5.1938	pict09_1.JPG	4
208.0	4.7190	pict66_1.JPG	2
224.0	5.9884	pict20_1.JPG	3
240.0	3.9314	pict57_1.JPG	3
256.0	2.9486	pict10_1.JPG	1
272.0	3.0676	pict12_1.JPG	4
