onset	duration	pict	response
0.0	6.4836	pict30_1.JPG	4
16.0	3.2502	pict31_1.JPG	4
32.0	1.8168	pict08_1.JPG	4
48.0	7.5167	pict26_1.JPG	3
64.0	1.6011	pict02_1.JPG	4
80.0	5.6670	pict46_1.JPG	2
96.0	4.9667	pict21_1.JPG	3
112.0	7.6671	pict16_1.JPG	4
128.0	7.1500	pict04_1.JPG	2
144.0	1.6169	pict22_1.JPG	3
160.0	9.1666	pict32_1.JPG	2
176.0	5.6501	pict42_1.JPG	4
192.0	1.5834	pict05_1.JPG	4
208.0	7.4001	pict40_1.JPG	1
224.0	8.5668	pict72_1.JPG	2
240.0	2.5336	pict67_1.JPG	1
256.0	8.5333	pict70_1.JPG	1
272.0	7.6000	pict27_1.JPG	2
