onset	duration	pict	response
0.0	7.6000	pict70_1.JPG	3
16.0	8.0500	pict51_1.JPG	4
32.0	6.6833	pict33_1.JPG	3
48.0	8.4832	pict07_1.JPG	4
64.0	5.1341	pict38_1.JPG	2
80.0	4.4503	pict58_1.JPG	3
96.0	8.2499	pict42_1.JPG	3
112.0	6.6671	pict28_1.JPG	3
128.0	5.8335	pict17_1.JPG	4
144.0	5.5332	pict41_1.JPG	3
160.0	3.6501	pict47_1.JPG	1
176.0	8.9997	pict14_1.JPG	4
192.0	4.0001	pict46_1.JPG	2
208.0	5.6831	pict56_1.JPG	3
224.0	4.0666	pict63_1.JPG	2
240.0	5.2665	pict08_1.JPG	3
256.0	8.7832	pict67_1.JPG	1
272.0	8.3497	pict59_1.JPG	1
