onset	duration	pict	response
0.0	7.7167	pict32_1.JPG	2
16.0	5.6176	pict40_1.JPG	2
32.0	5.2167	pict22_1.JPG	4
48.0	3.8669	pict34_1.JPG	3
64.0	4.3506	pict35_1.JPG	4
80.0	3.7172	pict06_1.JPG	4
96.0	5.0835	pict55_1.JPG	1
112.0	4.2668	pict03_1.JPG	3
128.0	2.6502	pict68_1.JPG	1
144.0	2.1832	pict16_1.JPG	4
160.0	5.3335	pict69_1.JPG	2
176.0	7.3334	pict11_1.JPG	4
192.0	4.1002	pict54_1.JPG	1
208.0	4.3832	pict30_1.JPG	4
224.0	2.3001	pict45_1.JPG	1
240.0	2.0503	pict60_1.JPG	1
256.0	5.9834	pict72_1.JPG	2
272.0	3.0168	pict62_1.JPG	4
