onset	duration	pict	response
0.0	6.4663	pict32_1.JPG	2
16.0	3.1503	pict40_1.JPG	3
32.0	1.8835	pict22_1.JPG	4
48.0	4.5335	pict34_1.JPG	3
64.0	1.7338	pict35_1.JPG	4
80.0	0.8673	pict06_1.JPG	4
96.0	2.0503	pict55_1.JPG	1
112.0	2.4669	pict03_1.JPG	3
128.0	1.3002	pict68_1.JPG	1
144.0	1.1834	pict16_1.JPG	4
160.0	0.9168	pict69_1.JPG	1
176.0	0.9503	pict11_1.JPG	4
192.0	1.5336	pict54_1.JPG	1
208.0	1.3834	pict30_1.JPG	4
224.0	1.3168	pict45_1.JPG	1
240.0	1.1001	pict60_1.JPG	1
256.0	2.0168	pict72_1.JPG	2
272.0	1.7001	pict62_1.JPG	4
