onset	duration	pict	response
0.0	2.7169	pict05_1.JPG	4
16.0	1.2169	pict48_1.JPG	1
32.0	1.3169	pict53_1.JPG	1
48.0	4.5168	pict29_1.JPG	3
64.0	3.6340	pict21_1.JPG	3
80.0	3.5673	pict25_1.JPG	4
96.0	4.5168	pict52_1.JPG	2
112.0	4.1669	pict37_1.JPG	1
128.0	2.4169	pict64_1.JPG	1
144.0	5.3334	pict31_1.JPG	3
160.0	2.8669	pict49_1.JPG	1
176.0	2.0834	pict27_1.JPG	4
192.0	2.3500	pict61_1.JPG	1
208.0	2.7167	pict50_1.JPG	1
224.0	3.5168	pict26_1.JPG	4
240.0	4.2164	pict43_1.JPG	1
256.0	3.6001	pict19_1.JPG	3
272.0	3.9668	pict44_1.JPG	2
