onset	duration	pict	response
0.0	4.5835	pict15_1.JPG	3
16.0	5.2669	pict01_1.JPG	3
32.0	3.7168	pict36_1.JPG	3
48.0	2.2002	pict71_1.JPG	1
64.0	4.3006	pict23_1.JPG	4
80.0	5.0836	pict65_1.JPG	2
96.0	2.5667	pict02_1.JPG	2
112.0	4.2502	pict04_1.JPG	1
128.0	4.0172	pict18_1.JPG	4
144.0	3.1668	pict24_1.JPG	3
160.0	2.6669	pict39_1.JPG	1
176.0	5.2166	pict13_1.JPG	3
192.0	2.3167	pict09_1.JPG	3
208.0	4.8501	pict66_1.JPG	2
224.0	2.9330	pict20_1.JPG	3
240.0	4.4001	pict57_1.JPG	2
256.0	1.9501	pict10_1.JPG	3
272.0	3.0001	pict12_1.JPG	3
