onset	duration	pict	response
0.0	5.4952	pict05_1.JPG	4
16.0	8.3799	pict48_1.JPG	2
32.0	6.8725	pict53_1.JPG	1
48.0	6.9212	pict29_1.JPG	4
64.0	6.5579	pict21_1.JPG	4
80.0	5.8779	pict25_1.JPG	4
96.0	8.4630	pict52_1.JPG	1
112.0	4.6056	pict37_1.JPG	1
128.0	8.5624	pict64_1.JPG	1
144.0	6.6420	pict31_1.JPG	4
160.0	5.3759	pict49_1.JPG	1
176.0	16.0000	pict27_1.JPG	1
192.0	3.7120	pict61_1.JPG	1
208.0	5.1695	pict50_1.JPG	1
224.0	5.5947	pict26_1.JPG	4
240.0	6.4459	pict43_1.JPG	1
256.0	4.7468	pict19_1.JPG	1
272.0	8.2284	pict44_1.JPG	1
