onset	duration	pict	response
0.0	2.8002	pict32_1.JPG	4
16.0	4.3669	pict40_1.JPG	2
32.0	2.7002	pict22_1.JPG	4
48.0	2.6168	pict34_1.JPG	2
64.0	4.5340	pict35_1.JPG	4
80.0	7.4503	pict06_1.JPG	4
96.0	3.7002	pict55_1.JPG	2
112.0	5.9166	pict03_1.JPG	2
128.0	7.0838	pict68_1.JPG	3
144.0	2.6504	pict16_1.JPG	4
160.0	7.1332	pict69_1.JPG	3
176.0	9.9499	pict11_1.JPG	3
192.0	4.5335	pict54_1.JPG	2
208.0	5.6833	pict30_1.JPG	3
224.0	7.9666	pict45_1.JPG	3
240.0	3.1503	pict60_1.JPG	1
256.0	7.1667	pict72_1.JPG	2
272.0	4.6667	pict62_1.JPG	1
