onset	duration	pict	response
0.0	9.3834	pict70_1.JPG	2
16.0	6.5835	pict51_1.JPG	2
32.0	3.7171	pict33_1.JPG	4
48.0	6.0501	pict07_1.JPG	4
64.0	6.8337	pict38_1.JPG	1
80.0	6.9832	pict58_1.JPG	1
96.0	8.2003	pict42_1.JPG	2
112.0	8.0506	pict28_1.JPG	3
128.0	6.8506	pict17_1.JPG	4
144.0	5.8671	pict41_1.JPG	1
160.0	3.6501	pict47_1.JPG	1
176.0	5.1667	pict14_1.JPG	4
192.0	6.5168	pict46_1.JPG	1
208.0	5.5000	pict56_1.JPG	1
224.0	5.2500	pict63_1.JPG	1
240.0	3.8667	pict08_1.JPG	3
256.0	3.9667	pict67_1.JPG	1
272.0	4.7164	pict59_1.JPG	1
