onset	duration	pict	response
0.0	6.7337	pict05_1.JPG	4
16.0	7.2334	pict48_1.JPG	2
32.0	7.4834	pict53_1.JPG	2
48.0	7.3501	pict29_1.JPG	3
64.0	5.2673	pict21_1.JPG	4
80.0	5.6837	pict25_1.JPG	4
96.0	5.4173	pict52_1.JPG	1
112.0	8.6833	pict37_1.JPG	1
128.0	4.8502	pict64_1.JPG	1
144.0	7.1667	pict31_1.JPG	4
160.0	7.5334	pict49_1.JPG	1
176.0	4.2505	pict27_1.JPG	4
192.0	5.6834	pict61_1.JPG	2
208.0	4.3168	pict50_1.JPG	1
224.0	5.3501	pict26_1.JPG	4
240.0	4.4834	pict43_1.JPG	1
256.0	5.7500	pict19_1.JPG	4
272.0	5.4833	pict44_1.JPG	1
